"S.NO.","TXN DATE","IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT","CREDITED ON","CUST.ACC.NO."
"1","11-Jun-24","100005039426503","817311928427484","4019.5","12-Jun-24","1431"
"2","11-Jun-24","100005038468793","133890928224313","905.85","12-Jun-24","9441"
"3","11-Jun-24","100005038546719","196419928255816","1540.4","12-Jun-24","6796"
"4","11-Jun-24","100005038731102","508910928275853","2019.95","12-Jun-24","4530"
"5","11-Jun-24","100005038816044","774681928296945","173.15","12-Jun-24","4682"
"6","11-Jun-24","100005038803197","203587928305566","328.6","12-Jun-24","4682"
"7","11-Jun-24","100005038748627","662543928316896","5000","12-Jun-24","11"
"8","11-Jun-24","100005038780536","138864928319171","5000","12-Jun-24","11"
"9","11-Jun-24","100005038793464","170524928321428","5000","12-Jun-24","11"
"10","11-Jun-24","100005038843233","135127928329974","1495.85","12-Jun-24","3650"
"11","11-Jun-24","100005038916759","106151928337401","1625.85","12-Jun-24","5299"
"12","11-Jun-24","100005039000169","162831928337648","11837.2","12-Jun-24","2318"
"13","11-Jun-24","100005038897899","400115928337787","2336.3","12-Jun-24","1912"
"14","11-Jun-24","100005038992496","193840928338727","5156.3","12-Jun-24","2667"
"15","11-Jun-24","100005038900668","147040928338801","1395.4","12-Jun-24","632"
"16","11-Jun-24","100005038884806","116330928338009","3406.3","12-Jun-24","2568"
"17","11-Jun-24","100005038968804","585481928339524","1610.85","12-Jun-24","6694"
"18","11-Jun-24","100005038923847","130727928339448","4281.75","12-Jun-24","179"
"19","11-Jun-24","100005038939842","206834928339916","4070.4","12-Jun-24","350"
"20","11-Jun-24","100005039031575","595367928340400","4665.4","12-Jun-24","326"
"21","11-Jun-24","100005038939978","190570928341879","3305.4","12-Jun-24","350"
"22","11-Jun-24","100005038999669","564168928344018","1710.85","12-Jun-24","5213"
"23","11-Jun-24","100005039056517","127946928343707","1345.85","12-Jun-24","5752"
"24","11-Jun-24","100005039083353","163166928348397","865.85","12-Jun-24","3689"
"25","11-Jun-24","100005039131100","139740928353216","3485.4","12-Jun-24","8827"
"26","11-Jun-24","100005039048742","168777928354282","1690.85","12-Jun-24","7698"
"27","11-Jun-24","100005039040688","156086928355327","1345.85","12-Jun-24","1789"
"28","11-Jun-24","100005039111326","533361928361944","2507.7","12-Jun-24","528"
"29","11-Jun-24","100005039057649","209821928360712","2865.4","12-Jun-24","8827"
"30","11-Jun-24","100005039184097","137190928374710","4041.75","12-Jun-24","4752"
"31","11-Jun-24","100005039136337","181382928375719","994.05","12-Jun-24","4656"
"32","11-Jun-24","100005039117484","190910928376876","2225.4","12-Jun-24","8827"
"33","11-Jun-24","100005039057821","201525928380982","2455.85","12-Jun-24","134"
"34","11-Jun-24","100005039056984","162052928378311","1995.4","12-Jun-24","8663"
"35","11-Jun-24","100005039043936","207920928382031","1794.95","12-Jun-24","5569"
"36","11-Jun-24","100005039043968","152899928385092","1794.95","12-Jun-24","5569"
"37","11-Jun-24","100005039215038","197831928386100","1487.7","12-Jun-24","5555"
"38","11-Jun-24","100005039213101","224562928392631","282.7","12-Jun-24","5915"
"39","11-Jun-24","100005039218111","623593928399675","1936.3","12-Jun-24","3894"
"40","11-Jun-24","100005039109717","478680928405322","262.7","12-Jun-24","5555"
"41","11-Jun-24","100005039111671","678291928401401","407.7","12-Jun-24","2560"
"42","11-Jun-24","100005039141523","178510928406469","2038.6","12-Jun-24","3560"
"43","11-Jun-24","100005039208195","189610928406535","980.4","12-Jun-24","5781"
"44","11-Jun-24","100005039247171","209894928411447","1896.3","12-Jun-24","3894"
"45","11-Jun-24","100005039287534","201195928412937","222.7","12-Jun-24","1336"
"46","11-Jun-24","100005039264425","128650928412114","1128.15","12-Jun-24","3692"
"47","11-Jun-24","100005039356030","167700928412381","442.7","12-Jun-24","5729"
"48","11-Jun-24","100005039236668","182125928414126","348.15","12-Jun-24","3344"
"49","11-Jun-24","100005039349329","100788928414171","287.7","12-Jun-24","638"
"50","11-Jun-24","100005039321634","387096928412893","1988.6","12-Jun-24","2631"
"51","11-Jun-24","100005039315776","769863928413104","443.15","12-Jun-24","3177"
"52","11-Jun-24","100005039400060","120295928414129","902.7","12-Jun-24","632"
"53","11-Jun-24","100005039338795","539849928414798","3279.5","12-Jun-24","1822"
"54","11-Jun-24","100005039324633","121645928414832","412.7","12-Jun-24","2560"
"55","11-Jun-24","100005039374463","475852928413984","1717.7","12-Jun-24","350"
"56","11-Jun-24","100005039266827","717773928415182","1204.05","12-Jun-24","4191"
"57","11-Jun-24","100005039281995","162168928414579","393.15","12-Jun-24","2044"
"58","11-Jun-24","100005039355520","123727928414860","768.6","12-Jun-24","1509"
"59","11-Jun-24","100005039290768","343369928415327","663.15","12-Jun-24","3624"
"60","11-Jun-24","100005039383392","977821928414872","868.6","12-Jun-24","8928"
"61","11-Jun-24","100005039368719","192540928416624","442.7","12-Jun-24","9569"
"62","11-Jun-24","100005039388705","441279928416763","808.6","12-Jun-24","6647"
"63","11-Jun-24","100005039354898","279110928416799","1717.7","12-Jun-24","350"
"64","11-Jun-24","100005039403643","599887928420101","442.7","12-Jun-24","2044"
"65","11-Jun-24","100005039475207","194737928423299","2379.5","12-Jun-24","3002"
"66","11-Jun-24","100005039996169","176686928782490","193.15","12-Jun-24","5554"
"67","11-Jun-24","100005039858917","198503928785218","1150.4","12-Jun-24","213"
"68","11-Jun-24","100005039954520","777963928814194","1197.7","12-Jun-24","1819"
"69","11-Jun-24","100005040013308","204061928824567","378.6","12-Jun-24","271"
"70","11-Jun-24","100005039977502","745740928837128","342.7","12-Jun-24","714"
"71","11-Jun-24","100005039917862","163541928844602","1046.3","12-Jun-24","278"
"72","11-Jun-24","100005039931844","174655928845336","343.15","12-Jun-24","714"
"73","11-Jun-24","100005039916968","489088928851898","1046.3","12-Jun-24","278"
"74","11-Jun-24","100005039921988","202696928853164","765.4","12-Jun-24","622"
"75","11-Jun-24","100005040074254","196213928887372","307.7","12-Jun-24","9052"
"76","11-Jun-24","100005040046533","131472928895625","158.15","12-Jun-24","3427"
"77","11-Jun-24","100005040017782","184043928914891","163.15","12-Jun-24","146"
"78","11-Jun-24","100005040019762","927258928914980","1199.5","12-Jun-24","154"
"79","11-Jun-24","100005040047621","120150928915347","407.7","12-Jun-24","2560"
"80","11-Jun-24","100005040043629","489729928922174","870.85","12-Jun-24","2432"
"81","11-Jun-24","100005040012899","206617928924219","1768.6","12-Jun-24","5781"
"82","11-Jun-24","100005040004855","200483928932161","1446.3","12-Jun-24","6042"
"83","11-Jun-24","100005040076555","150903928936596","1760.4","12-Jun-24","3728"
"84","11-Jun-24","100005040045752","117375928939155","158.15","12-Jun-24","3427"
"85","11-Jun-24","100005040076570","197036928939575","1760.4","12-Jun-24","3728"
"86","11-Jun-24","100005040045760","159614928940628","1319.5","12-Jun-24","154"
"87","11-Jun-24","100005040160095","203441928943267","3605.85","12-Jun-24","995"
"88","11-Jun-24","100005040083514","134903928945125","163.15","12-Jun-24","146"
"89","11-Jun-24","100005040197068","939764928974230","143.15","12-Jun-24","731"
"90","11-Jun-24","100005040046989","192240928979993","5396.3","12-Jun-24","9022"
"91","11-Jun-24","100005040222046","160701928990050","4195.4","12-Jun-24","8611"
"92","11-Jun-24","100005040217069","844777928991568","3686.3","12-Jun-24","9022"
"93","11-Jun-24","100005040222093","131489928996697","720.4","12-Jun-24","8611"
"94","11-Jun-24","100005040241057","148566929004961","416.3","12-Jun-24","8085"
"95","11-Jun-24","100005040229146","203639929010735","2000","12-Jun-24","9727"
"96","11-Jun-24","100005040241081","147674929009937","1491.75","12-Jun-24","8085"
"97","11-Jun-24","100005040148651","202770929017106","3606.3","12-Jun-24","7952"
"98","11-Jun-24","100005040241145","161058929018740","7041.75","12-Jun-24","8085"
"99","11-Jun-24","100005040115838","166609929019611","1610.85","12-Jun-24","1068"
"100","11-Jun-24","100005040241197","317326929025688","1006.3","12-Jun-24","8085"
"101","11-Jun-24","100005040170559","705240929029693","8737.65","12-Jun-24","761"
"102","11-Jun-24","100005040222339","238149929028543","262.7","12-Jun-24","5915"
"103","11-Jun-24","100005040241223","140100929029361","4836.3","12-Jun-24","8085"
"104","11-Jun-24","100005040222379","917985929033193","262.7","12-Jun-24","5915"
"105","11-Jun-24","100005040222397","396085929036116","262.7","12-Jun-24","5915"
"106","11-Jun-24","100005040241280","915874929037027","356.3","12-Jun-24","8085"
"107","11-Jun-24","100005040241301","150688929039755","540.85","12-Jun-24","8085"
"108","11-Jun-24","100005040191621","239782929049266","467.7","12-Jun-24","3563"
"109","11-Jun-24","100005040139935","157633929052847","1130.85","12-Jun-24","2432"
"110","11-Jun-24","100005040191668","175998929054833","717.7","12-Jun-24","8827"
"111","11-Jun-24","100005040289146","325044929057645","1477.7","12-Jun-24","4363"
"112","11-Jun-24","100005040158932","183401929064507","537.7","12-Jun-24","3560"
"113","11-Jun-24","100005040340345","170000929088934","342.7","12-Jun-24","8827"
"114","11-Jun-24","100005040340371","827208929090812","342.7","12-Jun-24","8827"
"115","11-Jun-24","100005040336514","140147929097822","697.7","12-Jun-24","7007"
"116","11-Jun-24","100005040372311","146189929099774","808.6","12-Jun-24","1047"
"117","11-Jun-24","100005040448043","273088929107275","900.4","12-Jun-24","7007"
"118","11-Jun-24","100005040478029","201980929115786","808.6","12-Jun-24","5022"
"119","11-Jun-24","100005040384555","111894929116578","1970.4","12-Jun-24","1047"
"120","11-Jun-24","100005040459269","136792929122755","298.6","12-Jun-24","5164"
"121","11-Jun-24","100005040486249","197924929126643","3000","12-Jun-24","4387"
"122","11-Jun-24","100005040511315","210935929136181","1816.3","12-Jun-24","4242"
"123","11-Jun-24","100005040488490","516696929136930","368.6","12-Jun-24","8373"
"124","11-Jun-24","100005040531311","163543929139531","298.6","12-Jun-24","8373"
"125","11-Jun-24","100005040585110","313848929141435","308.6","12-Jun-24","4810"
"126","11-Jun-24","100005040511534","142436929144385","2016.3","12-Jun-24","5474"
"127","11-Jun-24","100005040559289","183228929145550","158.15","12-Jun-24","2311"
"128","11-Jun-24","100005040580452","421065929152553","3237.2","12-Jun-24","413"
"129","11-Jun-24","100005040569712","121296929159439","1630.85","12-Jun-24","3680"
"130","11-Jun-24","100005039486289","161624928433258","168.15","12-Jun-24","3287"
"131","11-Jun-24","100005039362953","109222928435597","2275.4","12-Jun-24","1893"
"132","11-Jun-24","100005039362989","926395928438702","2275.4","12-Jun-24","1893"
"133","11-Jun-24","100005039496289","137999928439554","2410.4","12-Jun-24","8827"
"134","11-Jun-24","100005039435682","116283928443555","1688.6","12-Jun-24","2072"
"135","11-Jun-24","100005039397986","202813928450289","1535.4","12-Jun-24","8827"
"136","11-Jun-24","100005039454703","368974928452058","2038.6","12-Jun-24","3560"
"137","11-Jun-24","100005039464859","477088928481030","590.85","12-Jun-24","3650"
"138","11-Jun-24","100005039457894","124248928490939","950.4","12-Jun-24","5501"
"139","11-Jun-24","100005039508646","747190928490121","800.4","12-Jun-24","1084"
"140","11-Jun-24","100005039474888","104029928492108","540.85","12-Jun-24","3650"
"141","11-Jun-24","100005039535474","595852928493600","3096.75","12-Jun-24","13"
"142","11-Jun-24","100005039516633","629849928493965","977.7","12-Jun-24","8912"
"143","11-Jun-24","100005039617066","957255928494309","2335.4","12-Jun-24","8827"
"144","11-Jun-24","100005039489860","107460928496448","1065.85","12-Jun-24","8663"
"145","11-Jun-24","100005039617086","152881928497684","1045.4","12-Jun-24","8827"
"146","11-Jun-24","100005039489908","127599928501134","1065.85","12-Jun-24","8663"
"147","11-Jun-24","100005039508822","194170928509090","3290.85","12-Jun-24","179"
"148","11-Jun-24","100005039513807","188535928513346","2740.85","12-Jun-24","3560"
"149","11-Jun-24","100005039612267","706944928516659","719.5","12-Jun-24","7444"
"150","11-Jun-24","100005039542661","181955928517228","540.85","12-Jun-24","207"
"151","11-Jun-24","100005039640206","532309928518888","3955.4","12-Jun-24","2568"
"152","11-Jun-24","100005039542687","559041928520980","540.85","12-Jun-24","207"
"153","11-Jun-24","100005039599447","492340928530641","282.7","12-Jun-24","4974"
"154","11-Jun-24","100005039521861","555779928535482","1205.85","12-Jun-24","13"
"155","11-Jun-24","100005039603480","196097928539493","2938.6","12-Jun-24","4214"
"156","11-Jun-24","100005039561749","100165928540461","719.5","12-Jun-24","7444"
"157","11-Jun-24","100005039598566","967521928541579","4505.4","12-Jun-24","4068"
"158","11-Jun-24","100005039603553","138812928545575","398.6","12-Jun-24","4214"
"159","11-Jun-24","100005039529891","164626928550629","2530.4","12-Jun-24","27"
"160","11-Jun-24","100005039555974","434300928572999","668.6","12-Jun-24","3177"
"161","11-Jun-24","100005039612756","204780928580243","600.85","12-Jun-24","345"
"162","11-Jun-24","100005039752004","780668928578647","547.7","12-Jun-24","3177"
"163","11-Jun-24","100005039656674","159440928589846","3360.85","12-Jun-24","34"
"164","11-Jun-24","100005039594867","112175928596019","2635.4","12-Jun-24","8827"
"165","11-Jun-24","100005039656751","182328928598225","1575.85","12-Jun-24","34"
"166","11-Jun-24","100005039728216","171152928601776","6826.3","12-Jun-24","4124"
"167","11-Jun-24","100005039656822","309610928608142","1575.85","12-Jun-24","34"
"168","11-Jun-24","100005039754149","153173928610997","3644.5","12-Jun-24","373"
"169","11-Jun-24","100005039681654","280784928615401","980.85","12-Jun-24","3931"
"170","11-Jun-24","100005039681694","333493928620033","208.15","12-Jun-24","3931"
"171","11-Jun-24","100005039784189","926144928628905","590.85","12-Jun-24","837"
"172","11-Jun-24","100005039815011","196802928630844","228.6","12-Jun-24","1800"
"173","11-Jun-24","100005039802195","710428928646114","735.4","12-Jun-24","8827"
"174","11-Jun-24","100005039859038","169455928656369","1220.85","12-Jun-24","9981"
"175","11-Jun-24","100005039802381","314302928665869","2110.4","12-Jun-24","8827"
"176","11-Jun-24","100005039720877","692596928675504","4150.85","12-Jun-24","217"
"177","11-Jun-24","100005039807420","203620928676456","10115.4","12-Jun-24","333"
"178","11-Jun-24","100005039807451","232514928680235","1719.5","12-Jun-24","333"
"179","11-Jun-24","100005039885103","180509928687484","1715.4","12-Jun-24","333"
"180","11-Jun-24","100005039885140","232988928691937","1294.05","12-Jun-24","333"
"181","11-Jun-24","100005039895232","652975928709245","1925.4","12-Jun-24","7698"
"182","11-Jun-24","100005039838607","872919928712096","1925.4","12-Jun-24","7698"
"183","11-Jun-24","100005039777838","882994928713487","1385.4","12-Jun-24","6612"
"184","11-Jun-24","100005039777869","165754928719579","1385.4","12-Jun-24","6612"
"185","11-Jun-24","100005039788935","898606928724777","342.7","12-Jun-24","1380"
"186","11-Jun-24","100005039802857","199112928731839","715.4","12-Jun-24","5550"
"187","11-Jun-24","100005039958091","767013928738011","378.6","12-Jun-24","7171"
"188","11-Jun-24","100005039792968","144119928738804","715.4","12-Jun-24","5550"
"189","11-Jun-24","100005039869636","133012928739843","343.15","12-Jun-24","1380"
"190","11-Jun-24","100005039881554","175370928741419","1567.7","12-Jun-24","8827"
"191","11-Jun-24","100005039881615","168789928750014","1567.7","12-Jun-24","8827"
"192","11-Jun-24","100005039859767","375898928752295","2115.4","12-Jun-24","1520"
"193","11-Jun-24","100005039923475","172392928764643","2306.3","12-Jun-24","1520"
